title,link,type
Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,https://www.youtube.com/watch?v=uHJFJUIYNAo,regular
Charts in Excel | Excel Tutorials for Beginners,https://www.youtube.com/watch?v=gMAHXrty6wI,regular
How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,https://www.youtube.com/watch?v=BIUFr9srS78,regular
Conditional Formatting in Excel | Excel Tutorials for Beginners,https://www.youtube.com/watch?v=_eZRkmRfVTM,regular
How To Become A Data Analyst In 2022,https://www.youtube.com/watch?v=yDG5KiiOZcQ,regular
XLOOKUP in Excel | Excel Tutorials for Beginners,https://www.youtube.com/watch?v=Z7hPEwCzk2s,regular
Formulas in Excel | Excel Tutorials for Beginners,https://www.youtube.com/watch?v=XRPyj7cKVsQ,regular
Pivot Tables in Excel | Excel Tutorials for Beginners,https://www.youtube.com/watch?v=lH7HfwUFnYA,regular
Full Beginner Project in Tableau | Tableau Tutorials for Beginners,https://www.youtube.com/watch?v=zOR0-nygfDE,regular
How to use Joins in Tableau | Tableau Tutorials for Beginners,https://www.youtube.com/watch?v=A4SVUF-fTwc,regular
Top 5 Major Red Flags in Job Descriptions,https://www.youtube.com/watch?v=FnTunxd8tAM,regular
Truth About My Job (Song) - As a Data Analyst,https://www.youtube.com/watch?v=-_z_aphWSEo,regular
How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,https://www.youtube.com/watch?v=pL0jEjeM5hI,regular
Choosing a Domain to Make More Money,https://www.youtube.com/watch?v=eg_5EAUXs5o,regular
How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,https://www.youtube.com/watch?v=ebjDwX8sUMk,regular
How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,https://www.youtube.com/watch?v=f6qxxtWkaUg,regular
How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,https://www.youtube.com/watch?v=6xv1KvCMF1Q,regular
How NOT to Become a Data Analyst (Funny?),https://www.youtube.com/watch?v=465x3JmMJYU,regular
100k Subscriber Play Button Unboxing,https://www.youtube.com/watch?v=Ns1ZpTxQnUE,regular
Amazon Web Scraping Using Python | Data Analyst Portfolio Project,https://www.youtube.com/watch?v=HiOtQMcI5wg,regular
Interviewing with PwC for a Senior Data Analyst Position,https://www.youtube.com/watch?v=CUa30M_FPhk,regular
I Am No Longer a Data Analyst | Turning Down PwC | New Job,https://www.youtube.com/watch?v=_zxPx1PQCqI,regular
When To Start Applying To Your First Data Analyst Job,https://www.youtube.com/watch?v=UGF49YZZRNc,regular
Why You Need to Stop Taking Courses (From an Ex-Course Addict),https://www.youtube.com/watch?v=aLp-6C-p-T0,regular
How to Create a Portfolio Website for FREE,https://www.youtube.com/watch?v=ocdwh0KYeUs,regular
Data Analyst Portfolio Project | Correlation in Python | Project 4/4,https://www.youtube.com/watch?v=iPYVYBtUTyE,regular
How To Get a Data Analyst Job (with No Experience),https://www.youtube.com/watch?v=dMHWOhgzUhU,regular
My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,https://www.youtube.com/watch?v=A-LkxegXFX8,regular
Favorite Tableau and Power BI Courses on Udemy,https://www.youtube.com/watch?v=RJw-GSXXguA,regular
Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,https://www.youtube.com/watch?v=8rO7ztF4NtU,regular
Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,https://www.youtube.com/watch?v=QILNlRvJlfQ,regular
Asking My Family What I Do For a Living,https://www.youtube.com/watch?v=SVv0WwPzaUg,regular
Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,https://www.youtube.com/watch?v=qfyynHBFOsM,regular
Advanced SQL Tutorial | Subqueries,https://www.youtube.com/watch?v=m1KcNV-Zhmc,regular
Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,https://www.youtube.com/watch?v=IZRe0nwkuXc,regular
Google vs IBM Data Analytics Certificates | Which is Better?,https://www.youtube.com/watch?v=9RRQtNnq3s0,regular
Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,https://www.youtube.com/watch?v=qewHAdfzLOw,regular
Laptops for Data Analysts |  Specifications + Recommendations,https://www.youtube.com/watch?v=bHssBHfHWmU,regular
Best Machine Learning Courses on Coursera,https://www.youtube.com/watch?v=A4OVjWeVb10,regular
Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,https://www.youtube.com/watch?v=SIseim20_Dc,regular
Advanced SQL Tutorial | Stored Procedures + Use Cases,https://www.youtube.com/watch?v=NrBJmtD0kEw,regular
Google Data Analytics Professional Certificate | It's Finally Here!,https://www.youtube.com/watch?v=wnapnTAMj68,regular
Google Data Analytics Certificate | Coming Out Soon!,https://www.youtube.com/watch?v=duMcYRtQITA,regular
Reviewing Your Data Analyst Resumes | Part 2,https://www.youtube.com/watch?v=QG1fo7LFesA,regular
Best Course to Learn Statistics for Data Analysis,https://www.youtube.com/watch?v=pYRG5X7110M,regular
DataQuest Review | Is it Worth it?,https://www.youtube.com/watch?v=NViKsiGP4TY,regular
R vs Python | Which is Better for Data Analysis?,https://www.youtube.com/watch?v=1gdKC5O0Pwc,regular
Advanced SQL Tutorial | String Functions + Use Cases,https://www.youtube.com/watch?v=GQj6_6V_jVA,regular
Advanced SQL Tutorial | Temp Tables,https://www.youtube.com/watch?v=RF0LE3hYFrI,regular
IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,https://www.youtube.com/watch?v=eFDbE5Yunj0,regular
DataCamp Review | Is it Worth it?,https://www.youtube.com/watch?v=D9bNctNnAig,regular
Best Python Course for Data Analysts,https://www.youtube.com/watch?v=VsztBAEtC7c,regular
Top 5 Data Analyst Skills,https://www.youtube.com/watch?v=T3KMZoXrVTQ,regular
Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,https://www.youtube.com/watch?v=tJaDicmRW7s,regular
Top 5 Data Analyst Interview Mistakes,https://www.youtube.com/watch?v=hfRcaRw_atI,regular
2020 Year End Review + Upcoming Giveaway Details,https://www.youtube.com/watch?v=aPDOGxrONy0,regular
Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,https://www.youtube.com/watch?v=w25ZjL0OqT4,regular
Solving Medium Level SQL LeetCode Questions | Part 2/3,https://www.youtube.com/watch?v=EWPeAXrF3zg,regular
Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,https://www.youtube.com/watch?v=ru0Xdvxd37Q,regular
Data Engineer vs Data Analyst | Which Is Right For You?,https://www.youtube.com/watch?v=BAVPAYWAoC4,regular
How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,https://www.youtube.com/watch?v=whgwEwA5SHU,regular
Advanced SQL Tutorial | CTE (Common Table Expression),https://www.youtube.com/watch?v=K1WeoKxLZ5o,regular
"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",https://www.youtube.com/watch?v=0HRgbb1PcDQ,regular
Intermediate SQL Tutorial | Partition By,https://www.youtube.com/watch?v=D6XNlTfglW4,regular
Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,https://www.youtube.com/watch?v=JikLVP9DkPs,regular
Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,https://www.youtube.com/watch?v=yzqpYs7dIqY,regular
Top 3 Tips on Using LinkedIn to Land a Job,https://www.youtube.com/watch?v=7uH7_DThtX0,regular
What is No Code Analytics? | Alex The Analyst Show | Episode 10,https://www.youtube.com/watch?v=GGLF2jLo8J4,regular
Solving LeetCode SQL Interview Questions | Part 1/3,https://www.youtube.com/watch?v=BGBXnNvWdQ4,regular
What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,https://www.youtube.com/watch?v=PurMLMKNX0I,regular
Data Analyst Skills Path | What Skills You NEED to Know,https://www.youtube.com/watch?v=pvxNYyJuiqA,regular
Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,https://www.youtube.com/watch?v=brxnKIy6Cek,regular
Top 10 Udemy Courses for Data Analysts,https://www.youtube.com/watch?v=ySq0cgkZiX4,regular
Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,https://www.youtube.com/watch?v=aJ9Q10v8Nrc,regular
Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,https://www.youtube.com/watch?v=C2ik_qR5GOU,regular
Top 10 Coursera Courses for Data Analysts,https://www.youtube.com/watch?v=mLUzFXPPa4I,regular
Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,https://www.youtube.com/watch?v=XmFhpoS6Etk,regular
Data Analyst Expectations vs Reality,https://www.youtube.com/watch?v=1xT68oeQTd0,regular
Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,https://www.youtube.com/watch?v=eTsHJoMmhYQ,regular
Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,https://www.youtube.com/watch?v=8SolrjsGqzE,regular
Top 5 Reasons You'll Be a Good Data Analyst,https://www.youtube.com/watch?v=SKsjWzzz4mY,regular
How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,https://www.youtube.com/watch?v=Z2AachB309o,regular
Top 5 Reasons Data Analytics is a Good Career Choice,https://www.youtube.com/watch?v=_gP-DH0iZLw,regular
The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,https://www.youtube.com/watch?v=-Inc1be4zSg,regular
Top 5 Reasons Not to Lie on Your Resume,https://www.youtube.com/watch?v=CsMh7Ykmnw4,regular
Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,https://www.youtube.com/watch?v=5MZo2RoS8Yo,regular
Top 5 Reasons Not to Become a Data Analyst,https://www.youtube.com/watch?v=M2ySRYpo9S0,regular
Data Analyst Bootcamps | Are They Worth It?,https://www.youtube.com/watch?v=ncXgqGePvwI,regular
What Does a Data Analyst Actually Do?,https://www.youtube.com/watch?v=ywZXpfdqg1o,regular
Data Analyst Question and Answer | Answering Your YouTube Questions,https://www.youtube.com/watch?v=IqQCBytyATo,regular
Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,https://www.youtube.com/watch?v=MpIi4HtCiVk,regular
Data Analyst vs Business Analyst | Which Is Right For You?,https://www.youtube.com/watch?v=G4syHs3M82E,regular
Best Free Online Courses for Data Analysts,https://www.youtube.com/watch?v=appOFpF2pFg,regular
Best Online Courses for Data Analysts,https://www.youtube.com/watch?v=B2SPC3Wz1R8,regular
Data Scientist vs Data Analyst | Which Is Right For You?,https://www.youtube.com/watch?v=fUpChfNN5Uo,regular
Intermediate SQL Tutorial | Aliasing,https://www.youtube.com/watch?v=Dk7he_yEs4U,regular
Data Analyst Interviews | Salary Negotiation,https://www.youtube.com/watch?v=ziurEoqEcO4,regular
Data Analyst Interview Questions | What To Say vs What NOT To Say,https://www.youtube.com/watch?v=rLKC--8UYSw,regular
SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,https://www.youtube.com/watch?v=sua7xKN0cPc,regular
Data Analyst Interview Questions | Phone + In-Person Interview Questions,https://www.youtube.com/watch?v=fweZQqB0nwQ,regular
Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),https://www.youtube.com/watch?v=oXAwKZWfbW0,regular
Intermediate SQL Tutorial | Updating/Deleting Data,https://www.youtube.com/watch?v=bhnrIforc7s,regular
Intermediate SQL Tutorial | Having Clause,https://www.youtube.com/watch?v=tYBOMw7Ob8E,regular
Intermediate SQL Tutorial | Case Statement | Use Cases,https://www.youtube.com/watch?v=Twusw__OzA8,regular
Intermediate SQL Tutorial | Unions | Union Operator,https://www.youtube.com/watch?v=lYKkro6rKm0,regular
Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,https://www.youtube.com/watch?v=9URM1_2S0ho,regular
Day in the Life of a Data Analyst | Fortune 500 Edition,https://www.youtube.com/watch?v=qzZU6LAtIig,regular
SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,https://www.youtube.com/watch?v=LXwfzIRD-Ds,regular
SQL Basics Tutorial For Beginners | Where Statement | 3/4,https://www.youtube.com/watch?v=A9TOuDZTPDU,regular
SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,https://www.youtube.com/watch?v=PyYgERKq25I,regular
SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,https://www.youtube.com/watch?v=RSlqWnP-Dy8,regular
Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,https://www.youtube.com/watch?v=9o9loJpG-t4,regular
Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,https://www.youtube.com/watch?v=Lacbh0VoT3g,regular
Data Analyst Salary in 2020,https://www.youtube.com/watch?v=oZKs2xMbXQE,regular
Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,https://www.youtube.com/watch?v=N8f7NtDpbxA,regular
Switching Careers to Become a Data Analyst | How I Made the Switch,https://www.youtube.com/watch?v=wcKzdRVsMOw,regular
Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,https://www.youtube.com/watch?v=Ns-8Jsa3mEM,regular
Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,https://www.youtube.com/watch?v=4rfr6A3lO-Y,regular
Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,https://www.youtube.com/watch?v=OTq2NRy_AGs,regular
Data Analyst Salary | 100k with No Experience,https://www.youtube.com/watch?v=ya28cb3zFGE,regular
Truth About Big Companies | Told by a Fortune 500 Data Analyst,https://www.youtube.com/watch?v=Hsi2BG0SOiQ,regular
Top 3 Data Analyst Skills in 2020,https://www.youtube.com/watch?v=6lQzbk6_OTw,regular
Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,https://www.youtube.com/watch?v=dFA0E-6xT_M,live
Live Portfolio Review with Alex the Analyst!  | Live Webinar,https://www.youtube.com/watch?v=L-QnW_BZT3c,live
5 Study Hacks for Beginner Data Analysts! | Live Webinar,https://www.youtube.com/watch?v=gCG07l6Fu-U,live
Data Analyst Q/A Livestream + Special Guest! | December Livestream,https://www.youtube.com/watch?v=_2OknmkngkQ,live
Data Analyst Q/A Livestream | November Livestream,https://www.youtube.com/watch?v=eP8-mo5jRrY,live
Data Analyst Q/A Livestream | October Livestream,https://www.youtube.com/watch?v=rVhHGPDzEck,live
300k Livestream! | Giveaways for People in Chat | Bring Your Wine,https://www.youtube.com/watch?v=sXHIIW3Wt84,live
Data Analyst Live Stream | Riding out Hurricane Ian,https://www.youtube.com/watch?v=Pfq-8pGzgg4,live
Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,https://www.youtube.com/watch?v=50D__p6jdEI,live
250k Subscriber Live Stream!!,https://www.youtube.com/watch?v=DlEkWd-8VXA,live
200k Livestream! | Shaving | Puppies | Giveaway,https://www.youtube.com/watch?v=GsAXOr715AU,live
150k Subscriber Livestream!!,https://www.youtube.com/watch?v=s3JmRxs53W4,live
100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,https://www.youtube.com/watch?v=DKrSgSy6F1o,live
IBM Data Analyst Certificate Study Session,https://www.youtube.com/watch?v=8o-O6pR6yAE,live
Data Analyst Q/A LIVE #5 | AMA,https://www.youtube.com/watch?v=MQ5UUNjWgug,live
Data Analyst Q&A LIVE #4,https://www.youtube.com/watch?v=rZpfNh28nFI,live
Live Data Analyst Q&A #3,https://www.youtube.com/watch?v=ho2vzKPAD50,live
Data Analyst Q&A LIVE,https://www.youtube.com/watch?v=LJtFgnHGAos,live
"Python for AI #5: AI APIs (ChatGPT, OpenAI, AssemblyAI, and Replicate)",https://www.youtube.com/watch?v=LGNvnu2imPo,regular
Python for AI #4: Model Hubs & HuggingFace Tutorial,https://www.youtube.com/watch?v=gjEaz5FMokI,regular
Python for AI #3: How to Train a Machine Learning Model with Python,https://www.youtube.com/watch?v=T1nSZWAksNA,regular
Python for AI #2: Exploring and Cleaning Data with Pandas,https://www.youtube.com/watch?v=aLphsae3PSE,regular
Python for AI #1: Dev Environment Setup,https://www.youtube.com/watch?v=yTJxDzqo4fQ,regular
How to create free GPU-powered ML apps in Python,https://www.youtube.com/watch?v=wBCEDCiQh3Q,regular
Build a Photo Restoration App with Python,https://www.youtube.com/watch?v=xgQpalRRW3A,regular
How ChatGPT actually works,https://www.youtube.com/watch?v=x_bw_IHjCWU,regular
AssemblyAI's 2022 in Review,https://www.youtube.com/watch?v=BD2hTXJAVGE,regular
Biggest Takeaway from Expert Interviews in 2022 for @datascienceharp,https://www.youtube.com/watch?v=GTTnTK1rH7k,regular
Generative AI for Creative Work by @1littlecoder,https://www.youtube.com/watch?v=DCXvXdaWqN4,regular
How to Analyze Cloud Based Datasets Locally with Python,https://www.youtube.com/watch?v=vmPiWHu-oHw,regular
What is Your Favorite ML Library? Answered by @SumanthP,https://www.youtube.com/watch?v=LQl0pMF6fO0,regular
A Quick Introduction to Deep Learning by @misraturp,https://www.youtube.com/watch?v=Qqzs8ZeU4JU,regular
How to Use Machine Learning in Bioinformatics with @DataProfessor,https://www.youtube.com/watch?v=87bhDuq9ib0,regular
What is the Hardest Part about Working in AI with @samzee_codes,https://www.youtube.com/watch?v=lDYy7WfOpuM,regular
How to Deal with Procrastination with @Thuvu5,https://www.youtube.com/watch?v=ThvIrg-DuLw,regular
Sentiment Analysis in DataSpell with @JetBrainsTV,https://www.youtube.com/watch?v=c1zcPLVbhg4,regular
Quick and Free Ways to Deploy ML Apps with @patloeber,https://www.youtube.com/watch?v=ZBXNyOPv6mM,regular
What are @HuggingFace Model Cards?,https://www.youtube.com/watch?v=oh2Ahuk936M,regular
Machine Learning for Log Analysis Explained by @dankornas,https://www.youtube.com/watch?v=AnaGIhKQKUE,regular
What @SophiaYangDS is most excited of in 2023?,https://www.youtube.com/watch?v=2gekpxjuGGQ,regular
How to Integrate Community Components to Streamlit Apps with @andfanilo,https://www.youtube.com/watch?v=i746xT5sO70,regular
AssemblyAI Winter Hackathon Winners,https://www.youtube.com/watch?v=rve3ioH-004,regular
Transcribe & Analzye any video in seconds with AssemblyAI's Playground🔥,https://www.youtube.com/watch?v=ql1oNrmMr_U,regular
How to Get Started with Contributing to Open Source,https://www.youtube.com/watch?v=RGd5cOXpCQw,regular
Learn how to remove image backgrounds with PyTorch - Deep Learning Tutorial,https://www.youtube.com/watch?v=ASxHYek5yv0,regular
AssemblyAI Virtual Winter Hackathon is coming!,https://www.youtube.com/watch?v=Ji1DKxzJ-js,regular
Summarize any video using only ONE command!,https://www.youtube.com/watch?v=4K9jCFhRwlc,regular
Summarize and analyze videos with @streamlitofficial and AssemblyAI,https://www.youtube.com/watch?v=Mmt936kgot0,regular
Gradio Crash Course - Fastest way to build & share Machine Learning apps,https://www.youtube.com/watch?v=eE7CamOE-PA,regular
How to implement K-Means from scratch with Python,https://www.youtube.com/watch?v=6UF5Ysk_2gk,regular
How to implement SVM (Support Vector Machine) from scratch with Python,https://www.youtube.com/watch?v=T9UcK-TxQGw,regular
How to implement Perceptron from scratch with Python,https://www.youtube.com/watch?v=aOEoxyA4uXU,regular
How to implement PCA (Principal Component Analysis) from scratch with Python,https://www.youtube.com/watch?v=Rjr62b_h7S4,regular
